{'Tỉnh thành[a]': 'TP. Hồ Chí Minh', 'Ca nhiễm': '115.583', 'Đang điều trị': '78.996', 'Khác': '1', 'Hồi phục': '34.283', 'Tử vong[b]': '2.193'}
{'Tỉnh thành[a]': 'Bình Dương', 'Ca nhiễm': '25.702', 'Đang điều trị': '20.524', 'Khác': '0', 'Hồi phục': '3.936', 'Tử vong[b]': '242'}
{'Tỉnh thành[a]': 'Long An', 'Ca nhiễm': '9.030', 'Đang điều trị': '8.736', 'Khác': '0', 'Hồi phục': '187', 'Tử vong[b]': '107'}
{'Tỉnh thành[a]': 'Đồng Nai', 'Ca nhiễm': '6.979', 'Đang điều trị': '5.847', 'Khác': '0', 'Hồi phục': '1.072', 'Tử vong[b]': '60'}
{'Tỉnh thành[a]': 'Bắc Giang', 'Ca nhiễm': '5.964', 'Đang điều trị': '303', 'Khác': '0', 'Hồi phục': '5.649', 'Tử vong[b]': '12'}
{'Tỉnh thành[a]': 'Đồng Tháp', 'Ca nhiễm': '3.780', 'Đang điều trị': '3.635', 'Khác': '1', 'Hồi phục': '63', 'Tử vong[b]': '81'}
{'Tỉnh thành[a]': 'Khánh Hòa', 'Ca nhiễm': '3.471', 'Đang điều trị': '3.309', 'Khác': '0', 'Hồi phục': '134', 'Tử vong[b]': '28'}
{'Tỉnh thành[a]': 'Tiền Giang', 'Ca nhiễm': '2.988', 'Đang điều trị': '2.821', 'Khác': '1', 'Hồi phục': '57', 'Tử vong[b]': '79'}
{'Tỉnh thành[a]': 'Tây Ninh', 'Ca nhiễm': '2.426', 'Đang điều trị': '2.355', 'Khác': '0', 'Hồi phục': '65', 'Tử vong[b]': '6'}
{'Tỉnh thành[a]': 'Hà Nội', 'Ca nhiễm': '2.195', 'Đang điều trị': '1.550', 'Khác': '2', 'Hồi phục': '724', 'Tử vong[b]': '29'}
{'Tỉnh thành[a]': 'Bà Rịa - Vũng Tàu', 'Ca nhiễm': '1.998', 'Đang điều trị': '1.868', 'Khác': '0', 'Hồi phục': '128', 'Tử vong[b]': '2'}
